grp , pp , S , IDR , IDL , accTimeL
1,2,1,1,1,0.36923
1,2,1,1,1,0.61583
1,2,1,1,1,0.46625
1,2,1,1,1,0.58952
1,2,1,1,1,0.37191
1,2,1,1,1,0.73393
1,2,1,1,1,0.43121
1,2,1,1,1,0.66393
1,2,1,1,1,0.35363
1,2,1,1,1,0.61267
1,2,1,1,1,0.25314
1,2,1,1,1,0.68172
1,2,1,1,1,0.38027
1,2,1,1,1,0.63152
1,2,1,1,1,0.36106
1,2,1,1,1,0.69984
1,2,1,1,1,0.32465
1,2,1,1,1,0.8071
1,2,1,1,1,0.3157
1,2,1,1,1,0.57103
1,2,1,1,1,0.25685
1,2,1,1,1,0.56194
1,2,1,1,1,0.32316
1,2,1,1,1,0.6948
1,2,1,1,1,0.56863
1,2,1,1,1,0.45778
1,2,1,1,1,0.24672
1,2,1,1,1,0.46429
1,2,1,1,1,0.56061
1,2,1,1,1,0.72136
1,2,1,1,1,0.39257
1,2,1,1,1,0.68138
1,2,1,1,1,0.34671
1,2,1,1,1,0.47436
1,2,1,1,1,0.65108
1,2,1,1,1,0.26872
1,2,1,1,1,0.76185
1,2,1,1,1,0.33755
1,2,1,1,1,0.6889
1,2,1,1,1,0.2932
1,2,1,1,1,0.43548
1,2,1,1,1,0.54545
1,2,1,1,1,0.64929
1,2,1,1,1,0.38156
1,2,1,1,1,0.66331
1,2,1,1,1,0.41249
1,2,1,1,1,0.5674
1,2,1,1,1,0.49941
1,2,1,1,1,0.57955
1,2,1,1,1,0.40951
1,2,1,1,1,0.51536
1,2,1,1,1,0.69565
1,2,1,1,1,0.73237
1,2,1,1,1,0.56
1,2,1,1,1,0.36293
1,2,1,1,1,0.6
1,2,1,1,1,0.15652
1,2,1,1,1,0.35003
1,2,1,1,1,0.57355
1,2,1,1,1,0.2848
1,2,1,1,1,0.63842
1,2,1,1,1,0.456
1,2,1,1,1,0.47022
1,2,1,1,1,0.24075
1,2,1,1,1,0.6832
1,2,1,1,1,0.43333
1,2,1,1,1,0.38095
1,2,1,1,1,0.30374
1,2,1,1,1,0.5
1,2,1,1,1,0.55326
1,2,1,1,1,0.45902
1,2,1,1,1,0.56863
1,2,1,1,1,0.68249
1,2,1,1,1,0.40234
1,2,1,1,1,0.64648
1,2,1,1,1,0.31794
1,2,1,1,1,0.62286
1,2,1,1,1,0.41785
1,2,1,1,1,0.44706
1,2,1,1,1,0.57895
1,2,1,1,1,0.64946
1,2,1,1,1,0.34467
1,2,1,1,1,0.60024
1,2,1,1,1,0.39374
1,2,1,1,1,0.59144
1,2,1,1,1,0.23599
1,2,1,1,1,0.48066
1,2,1,1,1,0.50877
1,2,1,1,1,0.39286
1,2,1,1,1,0.50588
1,2,1,1,1,0.57822
1,2,1,1,1,0.38392
1,2,1,1,1,0.51613
1,2,1,1,1,0.52984
1,2,1,1,1,0.65134
1,2,1,1,1,0.40153
1,2,1,1,1,0.48344
1,2,1,1,1,0.62264
1,2,1,1,1,0.6389
1,2,1,1,1,0.29277
1,2,1,1,1,0.64466
1,2,1,1,1,0.34997
1,2,1,1,1,0.71468
1,2,1,1,1,0.44304
1,2,1,1,1,0.65774
1,2,1,1,1,0.39008
1,2,1,1,1,0.37195
1,2,1,1,1,0.61947
1,2,1,1,1,0.69197
1,2,1,1,1,0.44651
1,2,1,1,1,0.51908
1,2,1,1,1,0.46386
1,2,1,1,1,0.59862
1,2,1,1,1,0.58786
1,2,1,1,1,0.31487
1,2,1,1,1,0.7657
1,2,1,1,1,0.33821
1,2,1,1,1,0.65702
1,2,1,1,1,0.28155
1,2,1,1,1,0.39901
1,2,1,1,1,0.42857
1,2,1,1,1,0.68177
1,2,1,1,1,0.31062
1,2,1,1,1,0.70672
1,2,1,1,1,0.3067
1,2,1,1,1,0.78015
1,2,1,1,1,0.34674
1,2,1,1,1,0.70341
1,2,1,1,1,0.35051
1,2,1,1,1,0.69886
1,2,1,1,1,0.30134
1,2,1,1,1,0.70389
1,2,1,1,1,0.36252
1,2,1,1,1,0.64607
1,2,1,1,1,0.43191
1,2,1,1,1,0.58048
1,2,1,1,1,0.49646
1,2,1,1,1,0.73431
1,2,1,1,1,0.43581
1,2,1,1,1,0.62469
1,2,1,1,1,0.32073
1,2,1,1,1,0.6867
1,2,1,1,1,0.3561
1,2,1,1,1,0.65884
1,2,1,1,1,0.39044
1,2,1,1,1,0.61319
1,2,1,1,1,0.51777
1,2,1,1,1,0.67005
1,2,1,1,1,0.44925
1,2,1,1,1,0.72494
1,2,1,1,1,0.42238
1,2,1,1,1,0.64874
1,2,1,1,1,0.46466
1,2,1,1,1,0.55038
1,2,1,1,1,0.38801
1,2,1,1,1,0.63301
1,2,1,1,1,0.40535
1,2,1,1,1,0.63212
1,2,1,1,1,0.39042
1,2,1,1,1,0.62552
1,2,1,1,1,0.49275
1,2,1,1,1,0.51667
1,2,1,1,1,0.47739
1,2,1,1,1,0.54455
1,2,1,1,1,0.37461
1,2,1,1,1,0.77407
1,2,1,1,1,0.49316
1,2,1,1,1,0.73751
1,2,1,1,1,0.38448
1,2,1,1,1,0.66902
1,2,1,1,1,0.53012
1,2,1,1,1,0.4022
1,2,1,1,1,0.30879
1,2,1,1,1,0.66971
1,2,1,1,1,0.42857
1,2,1,1,1,0.37113
1,2,1,1,1,0.3508
1,2,1,1,1,0.75092
1,2,1,1,1,0.40898
1,2,1,1,1,0.5189
1,2,1,1,1,0.60974
1,2,1,1,1,0.35507
1,2,1,1,1,0.78383
1,2,1,1,1,0.39054
1,2,1,1,1,0.77038
1,2,1,1,1,0.36226
1,2,1,1,1,0.48148
1,2,1,1,1,0.43672
1,2,1,1,1,0.67888
1,2,1,1,1,0.35075
1,2,1,1,1,0.72933
1,2,1,1,1,0.38447
1,2,1,1,1,0.5797
1,2,1,1,1,0.5404
1,2,1,1,1,0.44792
1,2,1,1,1,0.31789
1,2,1,1,1,0.77436
1,2,1,1,1,0.75281
1,2,1,1,1,0.53886
1,2,1,1,1,0.39245
1,2,1,1,1,0.63568
1,2,1,1,1,0.32888
1,2,1,1,1,0.42683
1,2,1,1,1,0.31343
1,2,1,1,1,0.6704
1,2,1,1,1,0.32964
1,2,1,1,1,0.59854
1,2,1,1,1,0.29247
1,2,1,1,1,0.62023
1,2,1,1,1,0.28025
1,2,1,1,1,0.43651
1,2,1,1,1,0.56522
1,2,1,1,1,0.58181
1,2,1,1,1,0.46226
1,2,1,1,1,0.45455
1,2,1,1,1,0.31396
1,2,1,1,1,0.65974
1,2,1,1,1,0.32383
1,2,1,1,1,0.57714
1,2,1,1,1,0.36923
1,2,1,1,1,0.61583
1,2,1,1,1,0.46625
1,2,1,1,1,0.58952
